"date e hora","caso de teste","mensagem"
"[2021/07/14 23:24:29:2429] ","Casos De Teste","Iniciou o teste"
"[2021/07/14 23:24:36:2436] ","Iterasys","Abriu o Site"
"[2021/07/14 23:24:36:2436] ","mantis","Iniciou o Caso de Teste"
"[2021/07/14 23:24:36:2436] ","mantis","clicou na barra de pesquisa"
"[2021/07/14 23:24:36:2436] ","mantis","limpou o campo"
"[2021/07/14 23:24:36:2436] ","mantis","Digitou Mantis"
"[2021/07/14 23:24:40:2440] ","mantis","Clicou botão Lupa"
"[2021/07/14 23:24:40:2440] ","mantis","Aferiu que é Cursos › mantis"
"[2021/07/14 23:24:43:2443] ","mantis","Clicou em Comprar"
"[2021/07/14 23:24:44:2444] ","mantis","Aferiu que é Mantis "
"[2021/07/14 23:24:44:2444] ","mantis","Aferiu que é R$ 49,99"
"[2021/07/14 23:24:44:2444] ","FIM","Teste Iniciou em 2021-07-14 23-24e Terminou em [2021/07/14 23:24:44:000849] "
"[2021/07/14 23:24:52:2452] ","Iterasys","Abriu o Site"
"[2021/07/14 23:24:52:2452] ","ctfl","Iniciou o Caso de Teste"
"[2021/07/14 23:24:52:2452] ","ctfl","clicou na barra de pesquisa"
"[2021/07/14 23:24:52:2452] ","ctfl","limpou o campo"
"[2021/07/14 23:24:52:2452] ","ctfl","Digitou Preparatório CTFL"
"[2021/07/14 23:24:56:2456] ","ctfl","Clicou botão Lupa"
"[2021/07/14 23:24:56:2456] ","ctfl","Aferiu que é Cursos › Preparatório CTFL"
"[2021/07/14 23:24:59:2459] ","ctfl","Clicou em Comprar"
"[2021/07/14 23:25:00:250] ","ctfl","Aferiu que é R$ 169,00"
"[2021/07/14 23:25:00:250] ","FIM","Teste Iniciou em 2021-07-14 23-24 e Terminou em [2021/07/14 23:25:00:000322] "
